date|cpc|User_Base
2022-11-17|45889|1076
2022-11-17|46071|2583
2022-11-17|46109|4227
2022-11-17|46111|1
2022-11-17|46189|6
2022-11-17|46191|2
2022-11-17|46229|33
2022-11-17|46231|38
2022-11-18|893|12611
2022-11-18|25609|42
2022-11-18|25814|182
2022-11-18|25828|19
2022-11-18|25857|59
2022-11-18|28428|963
2022-11-18|29158|517
2022-11-18|30088|130
2022-11-18|30710|384
2022-11-18|31036|28
2022-11-18|31192|15
2022-11-18|31581|408
2022-11-18|31690|139
2022-11-18|32680|123
2022-11-18|34394|5
2022-11-18|34409|2995
2022-11-18|34410|1
2022-11-18|34828|2492
2022-11-18|35008|62
2022-11-18|35014|56
2022-11-18|35020|55
2022-11-18|35357|55
2022-11-18|35887|4882
2022-11-18|36211|862
2022-11-18|36268|108
2022-11-18|36394|256
2022-11-18|36649|5
2022-11-18|36827|8745
2022-11-18|37448|2907
2022-11-18|37841|55
2022-11-18|37947|77
2022-11-18|38903|1290
2022-11-18|38904|56
2022-11-18|38941|1779
2022-11-18|38967|209
2022-11-18|39301|15
2022-11-18|39480|1
2022-11-18|39561|1
2022-11-18|39581|30
2022-11-18|39621|9419
2022-11-18|39681|700
2022-11-18|39682|2
2022-11-18|39721|418
2022-11-18|39923|528
2022-11-18|40101|1
2022-11-18|40221|168
2022-11-18|40341|5
2022-11-18|40545|15
2022-11-18|40562|35
2022-11-18|40651|59
2022-11-18|40675|703
2022-11-18|40771|24
2022-11-18|40953|4953
2022-11-18|40962|678
2022-11-18|41029|8122
2022-11-18|41034|40
2022-11-18|41051|16
2022-11-18|41129|1815
2022-11-18|41149|342
2022-11-18|41177|13863
2022-11-18|41181|21400
2022-11-18|41235|656
2022-11-18|41247|58
2022-11-18|41329|22630
2022-11-18|41529|61
2022-11-18|41589|34
2022-11-18|41633|27
2022-11-18|41636|93
2022-11-18|41638|15
2022-11-18|41644|178
2022-11-18|41650|164
2022-11-18|41652|79
2022-11-18|41675|4
2022-11-18|41794|33
2022-11-18|41798|38
2022-11-18|41802|17
2022-11-18|41804|25
2022-11-18|41809|33
2022-11-18|41909|2864
2022-11-18|41949|33999
2022-11-18|42049|7263
2022-11-18|42069|28
2022-11-18|42071|9692
2022-11-18|42073|19
2022-11-18|42076|1464
2022-11-18|42078|10
2022-11-18|42339|3098
2022-11-18|42341|7
2022-11-18|42389|2
2022-11-18|42489|5
2022-11-18|42609|16
2022-11-18|42689|7385
2022-11-18|42709|54
2022-11-18|42911|2876
2022-11-18|43091|12
2022-11-18|43093|13
2022-11-18|43269|10
2022-11-18|43349|80
2022-11-18|43551|9521
2022-11-18|43553|636
2022-11-18|43571|62
2022-11-18|43575|8
2022-11-18|43609|20395
2022-11-18|43611|43
2022-11-18|43613|8473
2022-11-18|43615|22
2022-11-18|43617|18248
2022-11-18|43619|19
2022-11-18|43869|175
2022-11-18|44009|4520
2022-11-18|44051|418
2022-11-18|44169|29
2022-11-18|44409|13077
2022-11-18|44509|461
2022-11-18|44549|1
2022-11-18|44613|4775
2022-11-18|44618|6008
2022-11-18|44620|478
2022-11-18|44629|5743
2022-11-18|44649|5492
2022-11-18|44889|9
2022-11-18|44950|105
2022-11-18|45169|7851
2022-11-18|45300|3256
2022-11-18|45309|51
2022-11-18|45329|1883
2022-11-18|45333|3126
2022-11-18|45335|16117
2022-11-18|45337|2748
2022-11-18|45339|3080
2022-11-18|45341|22
2022-11-18|45343|7564
2022-11-18|45345|768
2022-11-18|45347|15377
2022-11-18|45349|6192
2022-11-18|45351|9383
2022-11-18|45353|57
2022-11-18|45355|279
2022-11-18|45357|3
2022-11-18|45359|48
2022-11-18|45371|51
2022-11-18|45433|14
2022-11-18|45489|1510
2022-11-18|45589|18773
2022-11-18|45629|1540
2022-11-18|45631|1609
2022-11-18|45633|30
2022-11-18|45635|2
2022-11-18|45637|396
2022-11-18|45639|21
2022-11-18|45649|3
2022-11-18|45749|22
2022-11-18|45789|2
2022-11-18|45809|28
2022-11-18|45829|1538
2022-11-18|45849|3598
2022-11-18|45889|1069
2022-11-18|46071|2620
2022-11-18|46109|4210
2022-11-18|46111|1
2022-11-18|46189|6
2022-11-18|46191|2
2022-11-18|46229|33
2022-11-18|46231|38
2022-11-19|893|12663
2022-11-19|25609|42
2022-11-19|25814|182
2022-11-19|25828|19
2022-11-19|25857|59
2022-11-19|28428|964
2022-11-19|29158|517
2022-11-19|30088|130
2022-11-19|30710|384
2022-11-19|31036|28
2022-11-19|31192|15
2022-11-19|31581|408
2022-11-19|31690|139
2022-11-19|32680|122
2022-11-19|34394|5
2022-11-19|34409|2994
2022-11-19|34410|1
2022-11-19|34828|2507
2022-11-19|35008|62
2022-11-19|35014|56
2022-11-19|35020|55
2022-11-19|35357|55
2022-11-19|35887|4904
2022-11-19|36211|869
2022-11-19|36268|108
2022-11-19|36394|256
2022-11-19|36649|5
2022-11-19|36827|8854
2022-11-19|37448|2906
2022-11-19|37841|55
2022-11-19|37947|77
2022-11-19|38903|1289
2022-11-19|38904|56
2022-11-19|38941|1775
2022-11-19|38967|209
2022-11-19|39301|15
2022-11-19|39480|1
2022-11-19|39561|1
2022-11-19|39581|30
2022-11-19|39621|9445
2022-11-19|39681|700
2022-11-19|39682|1
2022-11-19|39721|418
2022-11-19|39923|527
2022-11-19|40101|1
2022-11-19|40221|168
2022-11-19|40341|5
2022-11-19|40545|15
2022-11-19|40562|35
2022-11-19|40651|59
2022-11-19|40675|702
2022-11-19|40771|24
2022-11-19|40953|4952
2022-11-19|40962|678
2022-11-19|41029|8162
2022-11-19|41034|40
