date,service_name,tme_category,User_Base
2023-01-26,Tonos Reales,Music,176
2023-01-27,La Gruta del Sexo,Light,12588
2023-01-27,Porno Gafas,Light,9848
2023-01-27,Rincon Prohibido,Light,1507
2023-01-27,Tonos Reales,Music,176
2023-01-28,La Gruta del Sexo,Light,12615
2023-01-28,Porno Gafas,Light,9888
2023-01-28,Rincon Prohibido,Light,1507
2023-01-28,Tonos Reales,Music,176
2023-01-29,La Gruta del Sexo,Light,12665
2023-01-29,Porno Gafas,Light,9930
2023-01-29,Rincon Prohibido,Light,1507
2023-01-29,Tonos Reales,Music,176
2023-01-30,La Gruta del Sexo,Light,12639
2023-01-30,Porno Gafas,Light,9921
2023-01-30,Rincon Prohibido,Light,1504
2023-01-30,Tonos Reales,Music,176
2023-01-31,La Gruta del Sexo,Light,12594
2023-01-31,Porno Gafas,Light,9920
2023-01-31,Rincon Prohibido,Light,1500
2023-01-31,Tonos Reales,Music,176
2023-02-01,La Gruta del Sexo,Light,12564
2023-02-01,Porno Gafas,Light,9916
2023-02-01,Rincon Prohibido,Light,1492
2023-02-01,Tonos Reales,Music,176
2023-02-02,La Gruta del Sexo,Light,12535
2023-02-02,Porno Gafas,Light,9911
2023-02-02,Rincon Prohibido,Light,1491
2023-02-02,Tonos Reales,Music,176
2023-02-03,La Gruta del Sexo,Light,12532
2023-02-03,Porno Gafas,Light,9915
2023-02-03,Rincon Prohibido,Light,1482
2023-02-03,Tonos Reales,Music,176
2023-02-04,La Gruta del Sexo,Light,12572
2023-02-04,Porno Gafas,Light,9944
2023-02-04,Rincon Prohibido,Light,1478
2023-02-04,Tonos Reales,Music,176
2023-02-05,La Gruta del Sexo,Light,12616
2023-02-05,Porno Gafas,Light,9972
2023-02-05,Rincon Prohibido,Light,1473
2023-02-05,Tonos Reales,Music,176
2023-02-06,La Gruta del Sexo,Light,12614
2023-02-06,Porno Gafas,Light,9935
2023-02-06,Rincon Prohibido,Light,1464
2023-02-06,Tonos Reales,Music,176
2023-02-07,La Gruta del Sexo,Light,12610
2023-02-07,Porno Gafas,Light,9931
2023-02-07,Rincon Prohibido,Light,1458
2023-02-07,Tonos Reales,Music,176
2023-02-08,La Gruta del Sexo,Light,12651
2023-02-08,Porno Gafas,Light,9958
2023-02-08,Rincon Prohibido,Light,1454
2023-02-08,Tonos Reales,Music,176
2023-02-09,La Gruta del Sexo,Light,12646
2023-02-09,Porno Gafas,Light,9982
2023-02-09,Rincon Prohibido,Light,1448
2023-02-09,Tonos Reales,Music,176
2023-02-10,La Gruta del Sexo,Light,12646
2023-02-10,Porno Gafas,Light,9995
2023-02-10,Rincon Prohibido,Light,1446
2023-02-10,Tonos Reales,Music,176
2023-02-11,La Gruta del Sexo,Light,12682
2023-02-11,Porno Gafas,Light,10022
2023-02-11,Rincon Prohibido,Light,1440
2023-02-11,Tonos Reales,Music,176
2023-02-12,La Gruta del Sexo,Light,12705
2023-02-12,Porno Gafas,Light,10065
2023-02-12,Rincon Prohibido,Light,1438
2023-02-12,Tonos Reales,Music,176
2023-02-13,La Gruta del Sexo,Light,12698
2023-02-13,Porno Gafas,Light,10054
2023-02-13,Rincon Prohibido,Light,1432
2023-02-13,Tonos Reales,Music,176
2023-02-14,La Gruta del Sexo,Light,12676
2023-02-14,Porno Gafas,Light,10073
2023-02-14,Rincon Prohibido,Light,1428
2023-02-14,Tonos Reales,Music,175
2023-02-15,La Gruta del Sexo,Light,12652
2023-02-15,Porno Gafas,Light,10077
2023-02-15,Rincon Prohibido,Light,1423
2023-02-15,Tonos Reales,Music,175
2023-02-16,La Gruta del Sexo,Light,12638
2023-02-16,Porno Gafas,Light,10077
2023-02-16,Rincon Prohibido,Light,1418
2023-02-16,Tonos Reales,Music,175
2023-02-17,La Gruta del Sexo,Light,12622
2023-02-17,Porno Gafas,Light,10097
2023-02-17,Rincon Prohibido,Light,1412
2023-02-17,Tonos Reales,Music,175
2023-02-18,La Gruta del Sexo,Light,12651
2023-02-18,Porno Gafas,Light,10137
2023-02-18,Rincon Prohibido,Light,1409
2023-02-18,Tonos Reales,Music,175
2023-02-19,La Gruta del Sexo,Light,12692
2023-02-19,Porno Gafas,Light,10178
2023-02-19,Rincon Prohibido,Light,1409
2023-02-19,Tonos Reales,Music,175
2023-02-20,La Gruta del Sexo,Light,12710
2023-02-20,Porno Gafas,Light,10197
2023-02-20,Rincon Prohibido,Light,1408
2023-02-20,Tonos Reales,Music,175
2023-02-21,La Gruta del Sexo,Light,12708
2023-02-21,Porno Gafas,Light,10223
2023-02-21,Rincon Prohibido,Light,1405
2023-02-21,Tonos Reales,Music,175
2023-02-22,La Gruta del Sexo,Light,12698
2023-02-22,Porno Gafas,Light,10217
2023-02-22,Rincon Prohibido,Light,1405
2023-02-22,Tonos Reales,Music,175
2023-02-23,La Gruta del Sexo,Light,12529
2023-02-23,Porno Gafas,Light,10114
2023-02-23,Rincon Prohibido,Light,1401
2023-02-23,Tonos Reales,Music,175
2023-02-24,La Gruta del Sexo,Light,12528
